title,description,class
High Hog Prices Boost Smithfield Foods,"Smithfield Foods Inc. (SFD), the largest US pork producer, on Tuesday reported quarterly earnings jumped 61 percent on high hog prices, strong pork exports and the acquisition of a pork processor.",Business
A #39;s may be headed for off-season,"And if not, well, there are no water-holding explanations other than the one Monte Poole already provided yesterday, which is that the A #39;s and Boston Red Sox are about as similarly potent as whiskey and milk.",Sports
Stocks Open Slightly Higher as Oil Eases,US stocks showed small gains at the open on Monday as easing oil prices alleviated investors #39; worry about the effect of higher fuel costs on corporations and consumers.,Business
DVD player profits down to \$1,Want to get into the market for DVD players? Intense competition and standardization mean that you might make more as a mime.,Sci/Tech
Oracle signs deal to buy PeopleSoft for \$10.3B,"DECEMBER 13, 2004 (IDG NEWS SERVICE) - Oracle Corp. has signed a definitive agreement to acquire PeopleSoft Inc. for \$26.50 per share, or about \$10.3 billion, the companies said today, ending an acrimonious ",Business
BMW to Launch Its New 3-Series in March (AP),"AP - German automaker BMW will launch a crucial redesign of its mainstay 3-Series in March, the company said Tuesday. The new line is expected to challenge German rival Mercedes and its C-Class cars.",World
"Microsoft Unveils New Communication, Blog Tools (Reuters)","Reuters - Microsoft Corp.  unveiled on\Wednesday a new set of Web-based services allowing users of its\MSN service to publish and track each other's blogs, or online\journals.",Sci/Tech
Australia #39;s Oct. 9 Election Marathon Begins,Australian politicians set off on a marathon campaign Monday for an election that will focus on the way forward for one of the world #39;s strongest economies ,World
Firm Guilty Of Declaring False Shelter,"A federal judge ruled yesterday that Long Term Capital Management, the giant investment fund that nearly imploded in 1998 and received a \$3.",Business
"Amazon 3Q Profit Rises, Misses Estimates","Amazon.com Inc., the online retailing giant, on Thursday reported profits that surpassed year-ago results but came in below analyst expectations.",Business
Knicks Nudge Rockets 93-92 at Buzzer,"New York Knicks #39; Jamal Crawford (11) goes up to shoot the game-winning three-point shot as Houston Rockets #39; Jim Jackson (21) defends during the fourth quarter Thursday, Nov. 18, 2004 in Houston.",Sports
Denmark Hopes to Claim North Pole (AP),AP - Denmark is joining Russia and Canada to see if it can lay a claim to the North Pole  #151; and whatever natural riches may lie beneath it.,Sci/Tech
US jobless claims fall,"New US applications for unemployment benefits dropped last week partly as a result of Hurricane Charley, the Labor Department reported Thursday.",Business
US hostage wife pleads for mercy,"BBC, London, September 19: The wife of an American taken hostage with two others in Baghdad has appealed on television for their release.",World
Google sued by nude photo website,A California-based pornographer says it is suing  Google for providing illegal access to its website.,Sci/Tech
"Typhoon Megi Slams North Japan, Death Toll Hits 13"," TOKYO (Reuters) - Typhoon Megi killed one person as it  slammed ashore in northern Japan on Friday, bringing the death  toll to at least 13 and cutting power to thousands of homes  before heading out into the Pacific.",World
"Mizuho Securities, Japanese farmers #39; bank to boost ties","TOKYO : The brokerage arm of Japan #39;s biggest lender, the Mizuho Financial Group, and Norinchukin Bank, the umbrella bank for farmers #39; cooperatives, are considering expanding their ties, an official said.",Business
"Nets: If a title is in their future, stars don #39;t show it",with physical problems to overcome and no certainty that they can do it -- and the heady optimism has been replaced by a harsh realism.,Sports
Editor's Picks: The Best of our Web Services Coverage,"A guide to Computerworld's recent coverage of Web services and service-oriented architectures, including user applications, security issues and predictions.",Sci/Tech
Japan to maintain troops in Iraq,"Japan has said it will keep its troops in Iraq, despite the beheading of a Japanese hostage by Islamic militants. Officials had earlier confirmed that a body found in Baghdad yesterday was that of Shosei Koda ",World
Down and out,"A GIANT roared, a nation was crushed and debate over the ethics of an ancient game flared at the Gabba yesterday. After a sluggish start to the first Test Australia flexed their ",Sports
Hurricane Frances Inches Toward SE U.S.,"MIAMI - A menacing Hurricane Frances crept closer to the southeastern United States on Wednesday, with forecasters calling Florida - still cleaning up after Charley - a ""prime candidate"" to be hit as early as Friday. It would be the worst double hurricane strike on one state in at least a century...",World
US need not fear India and China: Bill Gates,"BERKELEY: The US has nothing to fear from rapidly growing technology markets in India and China, Bill Gates, chairman and chief software architect of Microsoft said.",Business
"Khokhrapar-Munabao rail link to reopen, no timeframe:","World News: Islamabad, Dec 3 : Pakistan and India agreed Friday to an early resumption of the Khokhrapar-Munabao rail link but failed to agree on a time frame for this, Online news agency reported.",World
Sony to launch its first MP3 hard-disk music player,"Sony is broadening support for the MP3 file format in its portable music player range. It will introduce a new hard disk-based MP3 player in December, and will produce ",Sci/Tech
Embassy bomb chief escaped with bribe #39;,INDONESIAN police have arrested another four men over the September carbombing of the Australian Embassy amid suggestions the bomb mastermind - and most wanted -r ,World
Oil Up as Ivan Threatens Oil Patch, LONDON (Reuters) - World oil prices shot higher on Monday  as companies operating in the U.S. Gulf of Mexico braced for  output disruptions from powerful Hurricane Ivan.,Business
Google news site hit by access problems in China,"An effort by Beijing authorities to bar access to the Chinese Google News website would be a considerable setback for the US internet search company, which is seeking to expand its ",Sci/Tech
Season over for Seattle #39;s Jacobsen,"Seattle, WA (Sports Network) - The Seattle Mariners announced prior to Wednesday #39;s game against Cleveland that first baseman/designated hitter Bucky Jacobsen will undergo surgery next week, ending the rookie #39;s 2004 campaign.",Sports
Cracker Barrel Announces \$8.7M Settlement,"NASHVILLE, Tenn. Sept. 9, 2004 - Cracker Barrel has agreed to an \$8.7 million settlement to resolve lawsuits accusing the restaurant chain of mistreating and segregating black customers and discriminating ",Business
Stern #39;s Move Is a Signal Event,"Though Howard Stern #39;s defection from broadcast to satellite radio is still 16 months off, the industry is already trying to figure out what will fill the crater in ad revenue and listenership that he is expected to leave behind.",Business
Google Tests New Desktop Search App,"OCTOBER 25, 2004 (COMPUTERWORLD) - Google Inc. this month began offering a beta version of a desktop search application that catalogs files, e-mail messages and other information stored on PCs and then enables end users to run searches against the data.",Business
Manchester United Reports Big Drop in Annual Profits,English football (soccer) team Manchester United has reported a nearly 30 percent fall in its annual profits and warned that future results would be affected by a drop in media revenues.,Business
News: Cash Bounties For Spammers Win Limited FTC Backing,"The Federal Trade Commission yesterday gave limited endorsement to offering cash rewards to people who help track down e-mail spammers, suggesting that such\bounties might work but in fewer circumstances than had been pushed by some anti-spam activists.\",Sci/Tech
CEO defends Merck on Vioxx,Merck  amp; Co.'s chairman and chief executive Raymond Gilmartin yesterday defended his firm's handling of earlier health warnings about Vioxx and said he was  quot;stunned quot; when he learned two weeks ago that a Merck clinical trial had confirmed the drug could cause strokes and heart attacks.,Business
Trade war erupts over aero subsidies,WASHINGTON - A decades-long struggle between the world #39;s two largest aircraftmakers escalated into a new trade war between the United States and Europe.,Business
Celtics hold off charging Jazz,BOSTON (Ticker) -- Gary Payton #39;s hot start helped the Boston Celtics rebound from a tough loss. Payton scored 18 of his season-high 27 points in the first half to lead the Celtics to a 114-106 victory over the struggling Utah Jazz.,Sports
Fannie Mae Elects Not to Issue Benchmark Notes(R) in November,"WASHINGTON, Nov. 12 /PRNewswire-FirstCall/ -- Fannie Mae (NYSE:FNM) has elected not to issue Benchmark Notes in November. The company currently intends to issue Benchmark securities in accordance with its ",Business
U.S. Economic Gauge Signals Weakness (Reuters),"Reuters - A key gauge of future economic\activity weakened for a third straight month in August as\costlier oil spread worry among consumers and businesses, a\report from a business research group showed on Thursday .",Business
Putting Nature on the Pill,Wildlife managers are looking to contraception as a way to control nuisance animals.,Sci/Tech
The Marathon Man,"In less than 20 hours, Chile #39;s Nicolas Massu fought his way to gold in men #39;s singles and doubles tennis. Four years ago the 24-year-old Chilean carried his county #39;s flag into the opening ceremonies in Sydney.",Sports
Group to focus on fund management,HONG KONG (CBS.MW) -- London-based financial services group HHG surged Friday after agreeing to sell its life insurance and pensions business to private equity investors for 1.025 billion pounds (\$1.96 billion) in cash.,Business
Koizumi dismisses Chinese leader #39;s criticism of visits to Yasukuni &lt;b&gt;...&lt;/b&gt;,"SANTIAGO -- Prime Minister Junichiro Koizumi on Sunday dismissed Chinese President Hu Jintao #39;s criticism of his controversial visits to Tokyo #39;s Yasukuni Shrine where the war dead, including Class-A war criminals, are enshrined.",World
Darfur rebels put forward peace plan at talks in Nigeria,": Rebel groups proposed a new peace agreement at talks aimed at restoring calm to Sudan #39;s Darfur region, calling for international peacekeepers and full access for aid groups to all of Darfur.",World
Radcliffe  #39;was not injured #39;,"Paula Radcliffe #39;s failure to add the Olympic marathon crown to her collection of achievements was not due to injury, the British team confirmed today.",Sports
UBS in private banking deal,"Baer #39;s North American wealth management business employs 55 people and manages more than \$4 billion in client assets. It is based in Manhattan and has additional offices in Los Angeles, Palm Beach and Montreal.",Business
Two Lebanese Hostages Released in Iraq (AP),"AP - Two Lebanese hostages have been released after more than three weeks in captivity in Iraq, a Lebanese Foreign Ministry official said Wednesday.",World
Maria a smash hit in tennis #39; fishbowl,"It #39;s one thing to win Wimbledon, the biggest trophy in tennis. Quite another to live with it. By Anja Niedringhaus, AP. That is the tricky road of risk ",Sports
" quot;My Body Was Done quot;, Says Retiring Pinsent",Four-time Olympic gold medallist Matthew Pinsent this morning announced his retirement from rowing three months after his final triumph in Athens in the coxless fours.,Sports
Company Settles Charges on Funds Sold to Soldiers,First Command Financial Services agreed to pay \$12 million to settle accusations that it used misleading information to sell mutual funds to military officers.,Business
Big five set their sights on mobile TV,"The world #39;s top five handset vendors, Nokia, Motorola, Siemens, NEC and Sony Erics, have announced a co-operative deal to investigate mobile broadcast services.",Sci/Tech
Injured Federer pulls out of hometown tourney,"Basel, Switzerland (Sports Network) - World No. 1 star Roger Federer was forced to pull out of his hometown Swiss Indoors tennis event after suffering a thigh injury while warming up on Tuesday.",Sports
Losses mourned in an insurgent stronghold ,BAGHDAD -- US and Iraqi forces took control of the central Iraqi city of Samarra yesterday but engaged in sporadic clashes with insurgents who had dispersed into the narrowest of its closely packed streets to continue fighting in small bands.,World
Music Industry Spurned by Court,"WASHINGTON -- The Supreme Court on Tuesday let stand a lower court decision holding that the recording industry can #39;t force internet service providers to turn over the names of users trading music files online, effectively stopping one of the legal ",Sci/Tech
Expos' Former Limited Partners Seek Block (AP),AP - Lawyers for the former limited partners of the Montreal Expos plan to ask a federal judge to block major league baseball from moving the team.,Sports
"No retirement yet for Agassi, says wife Graf","Former world number one Andre Agassi will carry on playing professional tennis for at least another year, says his wife Steffi Graf.",Sports
SBC Offers Wi-Fi Service to DSL Users for \$1.99/mo," WASHINGTON (Reuters) - SBC Communications Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=SBC.N qtype=sym infotype=info qcat=news""&gt;SBC.N&lt;/A&gt; said  on Monday it would offer access to its network of 3,900 public  Wi-Fi Internet access points to its high-speed Internet  subscribers for \$1.99 per month.",Sci/Tech
"SBC, Microsoft in  #36;400 Million Deal (AP)","AP - SBC Communications Inc., the second-largest local phone company in the United States, said Wednesday it signed a 10-year,  #36;400 million agreement with Microsoft Corp. to provide next-generation television services using Microsoft's TV Internet protocol television edition software platform.",Sci/Tech
Intel Corp. Makes Marketing Push for Centrino Chip (Reuters),"Reuters - Intel Corp.  on Monday\launched a global advertising campaign for its Centrino\notebook computer chips, aiming to boost sales of a brand that\has brought the world's largest chip maker more than  #36;3 billion\in revenue since its start last year.",Sci/Tech
"Urges nations to aid Iraq, promote rights","President Bush stood before an annual gathering of world leaders yesterday and forcefully defended his decision to invade Iraq, urging all ",World
France given rough ride,What seemed an ideal time to be playing France turned out to be exactly that. In fact with a shade more composure in front of goal the Republic of Ireland might even have ,Sports
Copernic desktop search takes aim at Microsoft,The privately held company today released free desktop search software in a move some see as a test of the product's market viability in what is becoming a crowded field.,Sci/Tech
Lycos withdraws vigilante anti-spam screensaver,"Lycos UK has withdrawn its anti-spam screensaver download from its portal following criticism that the vigilante-style programme had been too successful against spammers websites, shutting down a range of sites.",Sci/Tech
Gasol extends Grizzlies contract,"The Spanish player was pivotal for the Grizzlies last year, averaging 17.7 points, 7.7 rebounds and 1.69 blocks per game. The 7-foot Gasol came in an impressive 20th overall in the NBA in field goal percentage, and 18th in blocks.",Sports
Canon Unveils a Cavalcade of Printers,Topping the list of new models is a \$999 color laser multifunction printer.,Sci/Tech
U.S. Makes Spy Images Inside U.S.,"In the name of homeland security, a little known branch of the Defense Department -- the National Geospatial-Intelligence Agency, or America's spy imagery agency -- is keeping a close eye on the United States.",Sci/Tech
Search Engine Marketing For Travel-Related Sites,"Search marketing in the travel industry is brutally competitive, with intense jockeying between travel agencies, affiliates, wholesalers and travel products companies themselves vying for top positioning. What's the most effective approach to search marketing in this cutthroat environment?",Sci/Tech
Kabul tense after truck bombing of US security firm kills seven,"KABUL : A heavy security clampdown was enforced in the Afghan capital after the bombing of a US firm left at least seven dead and 28 wounded, and raised new fears about security just weeks before elections.",World
Top jockey Kieren Fallon arrested,"Champion jockey Kieren Fallon is among 16 people arrested in an investigation into corruption within horse racing, sources said. Two other jockeys and a trainer were also held in the probe into alleged race fixing.",Sports
History on Their Side?,"It is the Yankees, not the ""cursed"" Red Sox, who have a chance for the worst October collapse in history.",Sports
Russia School Standoff Ends With 250 Dead,"BESLAN, Russia - The three-day hostage siege at a school in southern Russia ended in chaos and bloodshed Friday, after witnesses said Chechen militants set off bombs and Russian commandos stormed the building. Hostages fled in terror, many of them children who were half-naked and covered in blood...",World
Dollar Rebounds But Data May Cap Gains," NEW YORK (Reuters) - The dollar rebounded on Monday after a  heavy selloff last week, but analysts were uncertain if the  rally could hold as the drumbeat of expectation began for to  the December U.S. jobs report due Friday.",Business
Karzai pledges to check warlords,"Hamid Karzai formally accepted his election as president of Afghanistan Thursday, a day after a joint UN-Afghan electoral board proclaimed him the victor in the October 9 vote, and said he would not condone the existence of  quot;private militia forces ",World
"Oil, Profit Reports to Weigh on Stocks"," NEW YORK (Reuters) - A new reporting period for company  earnings kicks into gear this week, giving investors a bit of  hard data to chew on, and markets could be volatile if the  price of crude oil stays north of \$50 a barrel.",Business
New Grand Theft Auto Video Game Heads to Xbox," LOS ANGELES (Reuters) - Video game hit ""Grand Theft Auto:  San Andreas"" is coming to the Xbox and personal computer  platforms next June, publisher Take-Two Interactive Software  Inc.&lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=TTWO.O qtype=sym infotype=info qcat=news""&gt;TTWO.O&lt;/A&gt; said on Thursday.",Sci/Tech
Reynolds American reports first earnings since merger with B amp;W,"Tobacco company Reynolds American Inc., reporting earnings for the first time since the combination of RJ Reynolds and the US operations of Brown  amp; Williamson Tobacco, posted a third-quarter profit of \$339 million Monday.",Business
"Perfect season over, unbeaten streak still alive for Arsenal","London, England (Sports Network) - For the first time during this young Premiership campaign, Arsenal took the field and did not emerge victorious.",Sports
"Intel, wireless pioneer McCaw team up on WiMax",The chipmaker and Craig McCaw's latest company partner on WiMax--a significant move for the emerging industry.,Sci/Tech
"Novell posts 3rd-quarter profit, revenue rises","Novell Thursday posted a quarterly profit as revenue rose, but the company warned that spending on information technology by companies remained weak.",Sci/Tech
Big Anti-Bush Protests Expected in NYC,"NEW YORK - Demonstrators took to the streets on Sunday to protest President Bush's foreign and domestic policies as Republican delegates gathered to nominate the president for a second term.    A day ahead of the start of the Republican National Convention, up to 250,000 demonstrators were expected to march up Seventh Ave...",World
Fed hikes benchmark rate by a quarter point,"NEW YORK, December 15 (newratings.com) - The US Federal Reserve announced yesterday a widely expected quarter point hike in its overnight lending rate, the fifth hike since June this year.",Business
Apple iTunes Rocks Europe," quot;We #39;re excited to bring the iTunes Music Store to even more music fans across Europe, and with this expansion we now reach customers in almost 70 percent of the global music market, quot; Apple #39;s Vice President of Applications Eddy Cue said.",Sci/Tech
Retail Sales Drop in August,"Shoppers turned tightfisted in August, dropping sales at the nation's retailers by 0.3 percent, providing fresh evidence of an erratic pace of consumer spending in recent months.",Business
Truckers begin All-India strike,"With the All India Motor Transport Congress rejecting the government #39;s last-minute bid for a negotiated settlement, truck owners have gone on an indefinite strike demanding the scrapping of service tax.",Business
Ben Bova: Exciting new era dawns in space flight,"Oct. 4, 2004, on the 47th anniversary of Russia #39;s launch of the first artificial satellite, Sputnik, history was again made in space.",Sci/Tech
Court reverses some Falun Gong convictions,HONG KONG -- A Hong Kong appeals court cleared some convictions yesterday against 16 Falun Gong followers for protesting outside China's liaison office but upheld more serious verdicts in a case seen as a test of this territory's freedoms under Chinese rule.,World
South Africa win Tri-Nations,A SECOND-HALF Springbok blitz gave South Africa their first Tri-Nations rugby title in six years with a win over Australia at Kings Park.,Sports
Former CA chief Sanjay Kumar charged with securities fraud,"Two ex-Computer Associates executives, including former chief executive Sanjay Kumar, have been charged with securities fraud, conspiracy and obstruction of justice relating to their alleged involvement in a multi-billion dollar accountancy scandal.",Business
"Recreational Fishing Puts Bite on US Fish Stocks, Study Says","Researchers behind the study say fishing for fun now makes up almost a quarter of the total take of overfished populations. These include seafood favorites such as red snapper, red drum, and bocacciospecies ",Sci/Tech
Oil Prices Fall to \$45 as Iraq Oil Flows," LONDON (Reuters) - Oil prices fell sharply to \$45 on  Tuesday, extending losses to a third day as a more optimistic  Iraq export picture helped unwind some of the supply worries  that have lifted the market to historic levels.",Business
Inflation inches up in August ,"Consumer prices rose slightly in August, easing fears that inflation, which surged earlier this year, would rapidly pick up steam.",Business
Waiting for relief amid the ruins,"Screaming and pounding her chest, Gerta Stefan pointed to a pool of mud from which protruded a mattress, a bicycle tire, a few bricks and a sheet of corrugated metal.",World
Crude futures bounce around \$46 per barrel range,Crude futures prices traded near two-month lows on Wednesday after the US government reported that commercially available oil supplies increased for the eighth straight week.,Business
Preliminary pact reached on Iran nukes,"TEHRAN, Iran - Iran and European nations reached a preliminary agreement about Iran #39;s nuclear program at talks hoped to avoid a UN showdown, but all countries involved still must approve it, Iran #39;s chief negotiator said Sunday.",World
"Frances blows down Federated sales, profits","Hurricane Frances will hurt sales and profits at Federated Department Stores Inc., the retailer said Tuesday. The Lazarus-Macy #39;s parent estimates it will lose \$20 million in sales, while ",Business
"Shortfall sparks downgrades, overshadows Q4 results",SAN FRANCISCO (CBS.MW) -- Agilent Technologies Inc. saw its shares fall more than 12 percent Friday after the testing and measurement equipment maker disclosed a first-quarter forecast that failed to meet analysts #39; expectations.,Business
Doctors Debate the Safety of Celebrex,"Concerns that Celebrex may increase the risk of heart attack could keep what is still a relatively safe medication away from patients who suffer from arthritis and other painful ailments, some doctors say.",Business
OSDL introduces improved Linux kernel development tool,"Open Source Development Lab has upgraded a key Linux kernel development tool, the Scalable Test Platform, with new features to improve simulations of enterprise data centers on the Linux kernel.",Sci/Tech
"Gap Profit Off, Sees More Store Closings (Reuters)","Reuters - Gap Inc. (GPS.N), the largest U.S.\specialty apparel retailer, on Thursday reported a 7 percent\decline in quarterly profit, meeting lowered forecasts, after\summer clearance sales drew surprisingly small crowds.",Business
Gaza Plan May Bring Palestinian State-Sharon Aide," JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon's  chief of staff on Thursday called a Gaza withdrawal plan a  possible step toward a Palestinian state, in a clear sign of  softening following Yasser Arafat's death.",World
'Doom 3' Game Unlikely for Xbox This Year - id CEO (Reuters),"Reuters - The Xbox version of ""Doom 3,"" the\long-awaited PC video game recently released to wide acclaim,\is not likely to be released in 2004 dealing a blow to\enthusiastic game players who are anxiously awaiting it.",Sci/Tech
Warner again underwhelming,"Kurt Warner #39;s woeful performance, combined with the Giants #39; enormous monetary commitment to Eli Manning, made their quintessential quarterback question inevitable in this  #39;What have you done for me today?",Sports
Part of the ECT News Network,"The discovery of a skeleton of a woman barely three feet tall who hunted tiny elephants and huge rats 18,000 years ago could rewrite the story of human evolution, scientists say.",Sci/Tech
Devastating locusts spreading in Africa,"ROME -- Swarms of locusts that have devastated crops and pastures across West Africa may hit countries as far away as Pakistan, a UN agency said yesterday as it announced an intensified control campaign. The desert locusts are moving into southwest Libya, southern Algeria, and the borders of Morocco, the Rome-based UN Food and Agriculture Organization said. Other swarms were ...",World
Arafat #39;s wife sends message to leaders,Paris - Yasser Arafat #39;s wife on Sunday despatched a key Palestinian official to the West Bank with a mysterious message for the leadership concerning the health of her husband and its political consequences.,World
Jordan #39;s crown prince is dismissed,"Jordan #39;s Hashemite royal family was thrown into turmoil last night when King Abdullah abruptly dismissed his half-brother, Prince Hamzeh, as Crown Prince and heir apparent.",World
Googles library project makes books available online,"Google Inc., a web-search services leader, will offer books and documents online from four universities and the New York Public Library.",Sci/Tech
"Stricken Canadian submarine arrives in Scotland, five days after &lt;b&gt;...&lt;/b&gt;","FASLANE, Scotland (CP) - The stricken Canadian submarine HMCS Chicoutimi finally arrived safely to port Sunday, its weary crew heralded as heroes by a British commander five days after a devastating fire killed one of their crewmates and left their vessel ",World
Pro-hunt demo at Labour gathering,Thousands of angry pro-hunting protesters are to stage a rally at the Labour Party conference in Brighton.,World
Brazil accounts for 3 percent of emissions of greenhouse gases in &lt;b&gt;...&lt;/b&gt;,"_ The burning and deforestation of Brazil #39;s vast Amazon rain forest causes nearly 3 percent of the world #39;s greenhouse gas emissions, according to a government report released Wednesday.",Sci/Tech
U.S. Agrees to Send Terror Detainee to Saudi Arabia,"The agreement clears the way for Yaser Esam Hamdi, who was born in the U.S. and raised in Saudi Arabia, to return there.",World
FX Asia: Kiwi To Add To 9-Yr High Vs Aussie On Rate Gap,"WELLINGTON (Dow Jones)--The New Zealand dollar is likely to add to its nine-year high against its Australian counterpart if, as expected, the two countries ",Business
Kidd Takes Another Shot at Nets,"The first week of training camp is not over and the Nets #39; best player, Jason Kidd, has sounded off twice. On Thursday, the issue was whether Kidd, who is rehabilitating ",Sports
Indian droughts 'may hit economy',The Indian central bank warns that drought and the high global price of oil may force it to lower its GDP forecasts.,Business
Palm #39;s Tungsten Gains More Memory,PalmOne Inc. is beefing up its new Tungsten T5 handheld with more memory in an attempt to make the device more appealing to business users who need access to data-intensive applications.,Sci/Tech
US leading indicator slides again,"The US Index of Leading Economic Indicators, a key gauge of where the nation #39;s economy is headed, fell for the fourth time in a row last month, according to a report Thursday.",Business
Karzai well ahead in Afghan tally,"KABUL, Afghanistan -- Preliminary results from Afghanistan #39;s landmark elections show President Hamid Karzai well ahead of his rivals and on course to become the country #39;s first popularly elected leader.",World
Insecurity: (Or Why Americans Aren't Feeling The Recovery),"The New Republic's website is currently carrying an interesting piece which tries to explain the anomaly that although the US economy is growing, a lot of its citizens are still feeling worse off. The article explains the results of a 40 year panel study which has shown that although mean incomes have increased, income variability has increased massively, causing many Americans to feel less well off, despite the growing economy.      ",Sci/Tech
"Bird flu kills one in Thailand, resurfaces in Indonesia","Bird flu has killed a nine-year-old Thai girl, raising the country #39;s toll from the deadly disease to 11 this year, a Health Ministry spokeswoman said on Monday.",World
Dyer up for sale on ebay,"The 23-year-old midfielder has been all over the back pages this week, following a reported bust-up with Sir Bobby Robson - and one supporter had has enough. ",Sports
Celtic v Inverness CT,Celtic manager Martin O #39;Neill has rubbished talks of a crisis after his side came in for criticism recently. With the success he has had since his arrival he has become immune to having his team scrutinised following defeat.,Sports
Nasa jet flies at  #39;10 times speed of sound #39;,"A tiny unmanned Nasa  quot;scramjet quot; set a new world speed record after flying at nearly 10 times the speed of sound. The 12ft supersonic combustion ramjet flew at just under 7,000mph - or around Mach 9.6.",Sci/Tech
S.E.C. Warns Amex Leaders It May File Civil Charges,The S.E.C. notified the top three executives of the American Stock Exchange that they may face civil charges of failing to properly enforce the exchange's rules.,Business
Early results show Karzai victory,Early results from the Afghan election suggest interim president Hamid Karzai has won enough votes for victory.,World
"British Troops, Militants Clash in Iraq (AP)","AP - British troops took control of the offices of Muqtada al-Sadr in the southern city of Basra on Friday after clashing with militants loyal to the rebel cleric, witnesses said.",World
Java Mustang following Tiger,"Sun Microsystems Inc is courting community views for the next version of Java 2 Standard Edition, the foundation stone of Java scheduled for spring 2006.",Sci/Tech
Edwards Hits Bush on Overtime Pay Rules,"RACINE, Wis. Aug. 23, 2004 - John Edwards chose the almost evenly divided state of Wisconsin to tout the Democratic presidential ticket #39;s economic plans and criticize the Bush administration #39;s new rules for overtime pay.",Business
"Microsoft, Intel Ads Coming to a Screen Near You","Microsoft and Intel have joined forces in the hope of advancing a strategy both companies have been plotting for some time, saying they will work together to promote cutting edge digital home entertainment options.",Sci/Tech
"Prime minister announces new 1,700-kilometre security zone off Australia (Canadian Press)","Canadian Press - SYDNEY, Australia (AP) - Australia plans to enforce a maritime security zone more than 1,700 kilometres out to sea, far beyond its territorial waters, in a move to boost defences against possible terror attacks on its soil and offshore oil and gas facilities, Prime Minister John Howard said Wednesday.",World
SCO sees a little sense,"SCO #39;s decision to rethink its scoinfo.com website, which the company had floated as a way of providing an archive of legal filings, hearing dates and SCO positions on various matters, is perhaps the first sign of common sense from the company for three ",Sci/Tech
More Robot Grunts Ready for Duty,"At an Army tech conference, companies show off new machines that do the work of flesh-and-blood soldiers. One sports machine guns to hunt down enemies. Another is an unmanned ambulance to take the wounded off the battlefield. Noah Shachtman reports from Orlando, Florida.",Sci/Tech
"Vick, Falcons thrown to the Lions","For all the highlights he #39;s provided in a 33-game career, Michael Vick reminded the Atlanta Falcons that he can lay an occasional egg, too.",Sports
India-Pakistan working for  #39;acceptable #39; solution of Kashmir,NEW DELHI (India): Prime Minister Dr Manmohan Singh Sunday said India and Pakistan were working towards achieving  quot;credible and mutually acceptable quot; solution of all outstanding problems including Kashmir issue.,World
Where Are the Superinvestors?,Whitney Tilson argues that the exceptional money managers are in hedge funds.,Business
Islamist Groups Vow to Spread Fight Across Iraq,Islamist groups including one led by al Qaeda ally Abu Musab al-Zarqawi vowed in a video obtained on Saturday to take their battle in the rebel city of Falluja to all corners of Iraq.,World
HP updates Openview to meet business needs,Hewlett-Packard will use this week #39;s Software Universe conference in Madrid to announce a revamp of its Openview enterprise systems management software.,Sci/Tech
Replay in Play,Baseball will put instant replay on the agenda for Thursday at the GM meetings and there seems to be growing support among teams.,Sports
Cavs #39; ground game grinds up Tigers,Theresa special bookcase in Al Grohs office completely full of game plans from his days in the NFL. Green ones are from the Jets.,Sports
Japan 2005 Expo to Display Frozen Mammoth (AP),"AP - Shuttle buses without drivers, trains floating on magnetic fields and other visions of the future will be on display at Japan's world fair next year. But Expo 2005's centerpiece will be rooted deep in the past  #151; the frozen remains of a woolly mammoth.",Sci/Tech
FedEx Earnings More Than Double," NEW YORK (Reuters) - FedEx Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FDX.N target=/stocks/quickinfo/fullquote""&gt;FDX.N&lt;/A&gt;, the world's top  air-express shipper, on Wednesday said quarterly earnings more  than doubled on strong growth in its international, ground and  freight services.",Business
Stocks Seen Higher; Oil Prices Slipping," NEW YORK (Reuters) - U.S. stocks looked to open higher on  Friday, as the fourth quarter begins on Wall Street with oil  prices holding below \$50 a barrel.",Business
PARALYMPICS SOMBRE CLOSING CEREMONY,"Instead of the fireworks and all night partying that usually accompanies such an event, it was a scaled back closing ceremony for the Athens Paralympics in tribute to seven teenagers killed in a bus crash on their way to the Games.",Sports
WORLD CUP QUALIFIER,"Republic of Ireland reaction:  #39;good defending, good organisation and good understanding #39;- in fact a pretty good day, all round!",Sports
Newsview: Flawed Candidates Neck and Neck (AP),"AP - After two debates, voters have seen President Bush look peevish and heard him pass the buck. They've watched Sen. John Kerry deny he's a flip-flopper and then argue that Saddam Hussein was a threat  #151; and wasn't. It's no wonder so few minds have changed.",World
Orange crush hopes,"Damien Rhodes scored on a 2-yard run in the second overtime, then Syracuse's defense stopped Pittsburgh on fourth and 1, sending the Orange to a 38-31 victory yesterday in Syracuse, N.Y.",Sports
Stocks Climb Despite Rise in Oil Prices,"NEW YORK - Buyers put a positive spin on the equity markets Wednesday, shrugging off rising crude futures as Google Inc. prepared to sell its stock in an initial public offering, albeit it at a far lower price than previously forecast...",World
